AUD,USD,0.8371
CAD,USD,0.8711
USD,CNY,6.1715
EUR,USD,1.2315
GBP,USD,1.5683
NZD,USD,0.7750
USD,JPY,119.95
EUR,CZK,27.6028
EUR,DKK,7.4405
EUR,NOK,8.6651
AUD,CAD,USD
AUD,CNY,USD
AUD,CZK,USD
AUD,DKK,USD
AUD,EUR,USD
AUD,GBP,USD
AUD,JPY,USD
AUD,NOK,USD
AUD,NZD,USD
CAD,CNY,USD
CAD,CZK,USD
CAD,DKK,USD
CAD,EUR,USD
CAD,GBP,USD
CAD,JPY,USD
CAD,NOK,USD
CAD,NZD,USD
CNY,CZK,USD
CNY,DKK,USD
CNY,EUR,USD
CNY,GBP,USD
CNY,JPY,USD
CNY,NOK,USD
CNY,NZD,USD
CZK,DKK,EUR
CZK,GBP,USD
CZK,JPY,USD
CZK,NOK,EUR
CZK,NZD,USD
CZK,USD,EUR
DKK,GBP,USD
DKK,JPY,USD
DKK,NOK,EUR
DKK,NZD,USD
DKK,USD,EUR
EUR,GBP,USD
EUR,JPY,USD
EUR,NZD,USD
GBP,JPY,USD
GBP,NOK,USD
GBP,NZD,USD
JPY,NOK,USD
JPY,NZD,USD
NOK,NZD,USD
NOK,USD,EUR